MN_mean	NN_mean	theta	prob	log2FC	length	GC	Chrom	GeneStart	GeneEnd	Biotype	ENSEMBL	SYMBOL	ENTREZ
ENSG00000012223	1459.53761157687	4384.08476855263	-2.64368488805297	1	-1.58676430495375	49590	46.95	3	46435645	46485234	protein_coding	ENSG00000012223	LTF	4057
ENSG00000076864	584.683541893104	2754.5754426551	-2.53578170784992	1	-2.23610208920659	73149	56.63	1	21596215	21669363	protein_coding	ENSG00000076864	RAP1GAP	5909
ENSG00000124107	355.16960994906	1021.68680149148	-2.66614034916081	1	-1.52437295726216	2326	51.29	20	45252239	45254564	protein_coding	ENSG00000124107	SLPI	6590
ENSG00000133112	3957.53967468732	6728.12843461111	-2.67122059451344	1	-0.765601432173679	7814	43.84	13	45333471	45341284	protein_coding	ENSG00000133112	TPT1	7178
ENSG00000133742	2214.95095487498	14671.050388291	-2.95968839875994	1	-2.72762550688226	51407	37.14	8	85327608	85379014	protein_coding	ENSG00000133742	CA1	759
ENSG00000137462	26905.3297415487	41489.0438569835	-2.66653803489542	1	-0.624838421685794	22191	38.83	4	153684070	153706260	protein_coding	ENSG00000137462	TLR2	7097
ENSG00000148346	586.274399009877	1976.07935936679	-2.84516748411158	1	-1.75299292203428	4383	60.89	9	128149071	128153453	protein_coding	ENSG00000148346	LCN2	3934
ENSG00000182512	3175.98375118761	7297.08757209369	-2.57219588364484	1	-1.20011723614263	11222	45.13	14	95533503	95544724	protein_coding	ENSG00000182512	GLRX5	51218
ENSG00000164047	266.94636842547	781.502072160567	-2.55624935853601	1	-1.54969977603305	2145	55.8	3	48223347	48225491	protein_coding	ENSG00000164047	CAMP	820
ENSG00000169877	785.424293365597	3084.76678075701	-2.7376296008163	0.999999999999997	-1.97361729394905	904	52.32	16	31527900	31528803	protein_coding	ENSG00000169877	AHSP	51327
ENSG00000131981	3264.32071980462	6354.84485727724	-2.60132079317172	0.999999999999997	-0.961074095525107	21314	44.62	14	55124110	55145423	protein_coding	ENSG00000131981	LGALS3	3958
ENSG00000147454	113139.254700838	177337.070017168	-2.54503923371728	0.999999999999997	-0.648394572025756	46508	48.38	8	23528956	23575463	protein_coding	ENSG00000147454	SLC25A37	51312
ENSG00000158578	54503.6991474555	131176.425451873	-2.7245174923735	0.99999999999999	-1.2670824138222	21923	43.13	X	55009055	55030977	protein_coding	ENSG00000158578	ALAS2	212
ENSG00000137198	2936.11108163862	5666.9281442628	-2.58904083764581	0.99999999999999	-0.948660358851062	56963	47.82	6	16238587	16295549	protein_coding	ENSG00000137198	GMPR	2766
ENSG00000146122	846.312620388273	3924.98134088513	-2.61646917886316	0.999999999999989	-2.21342320985535	112580	47.6	6	39792298	39904877	protein_coding	ENSG00000146122	DAAM2	23500
ENSG00000090013	4228.21413206517	7646.34632263351	-2.37951926725538	0.999999999999987	-0.854722103141885	18000	49.72	19	40447765	40465764	protein_coding	ENSG00000090013	BLVRB	645
ENSG00000238243	1664.85078994514	3223.54053788288	-2.53746407036106	0.999999999999986	-0.953253242872486	945	56.93	1	247895587	247896531	protein_coding	ENSG00000238243	OR2W3	343171
ENSG00000106070	2861.67533416239	7589.46947247569	-3.04349021675456	0.999999999999982	-1.40713903711975	203400	45.52	7	50590063	50793462	protein_coding	ENSG00000106070	GRB10	2887
ENSG00000163221	1780.94038750047	3467.51229361193	-2.68657574193966	0.999999999999977	-0.961261770784469	1911	49.61	1	153373711	153375621	protein_coding	ENSG00000163221	S100A12	6283
ENSG00000204936	207.538718012414	848.822554344477	-2.77039711455724	0.999999999999964	-2.03208248318904	9487	56.15	19	43353686	43363172	protein_coding	ENSG00000204936	CD177	57126
ENSG00000102837	151.164475263626	875.147533449644	-2.92868075212874	0.99999999999996	-2.53340711305068	23245	40.05	13	53028813	53052057	protein_coding	ENSG00000102837	OLFM4	10562
ENSG00000189221	70.7586358816237	413.314407775208	-2.74254891368035	0.999999999999948	-2.54626151521069	91918	40.27	X	43654907	43746824	protein_coding	ENSG00000189221	MAOA	4128
