MN_mean	NN_mean	theta	prob	log2FC	length	GC	Chrom	GeneStart	GeneEnd	Biotype	ENSEMBL	SYMBOL	ENTREZ
ENSG00000157933	21106.9490357619	17460.4266890487	2.80181102652112	0.999999999999968	0.273629240032337	81895	57.61	1	2228319	2310213	protein_coding	ENSG00000157933	SKI	6497
ENSG00000175115	53170.0243687107	44735.8672817342	2.78867255348573	0.999999999999966	0.249181141855071	174473	43.99	11	66070272	66244744	protein_coding	ENSG00000175115	PACS1	55690
ENSG00000054611	58743.1294569639	50888.1167902914	2.48474044984432	0.999897828467234	0.207091322562397	413083	49.42	22	46762617	47175699	protein_coding	ENSG00000054611	TBC1D22A	25771
ENSG00000133124	28.7566563302	2.762371688175	2.55502321046142	0.996207191567662	3.37991657851964	16618	41.07	X	108719946	108736563	protein_coding	ENSG00000133124	IRS4	8471
ENSG00000154217	29926.4078910178	25162.0697991862	2.30567074686727	0.994140148527171	0.25016851918677	319981	44.62	17	67377281	67697261	protein_coding	ENSG00000154217	PITPNC1	26207
ENSG00000189283	33378.9277699665	24888.3145670483	2.29817476498161	0.985613613470047	0.423469077272827	1504183	38.91	3	59747277	61251459	protein_coding	ENSG00000189283	FHIT	2272
ENSG00000100354	62252.296769034	55122.0327429922	2.28919887372504	0.980014353818216	0.175497974221418	290992	42.15	22	40044817	40335808	protein_coding	ENSG00000100354	TNRC6B	23112
ENSG00000103056	3556.55767806174	2475.54588666164	1.88724350967331	0.97558305703288	0.522734869160304	90182	51.02	16	68358327	68448508	protein_coding	ENSG00000103056	SMPD3	55512
ENSG00000065413	98679.5373866647	89474.2769055026	1.88615426863926	0.974656036247855	0.141277972828236	344157	40.24	2	196967017	197311173	protein_coding	ENSG00000065413	ANKRD44	91526
ENSG00000145779	36295.5640795394	31202.079742646	1.89438472332163	0.966328292796899	0.218151044059407	130997	41.46	5	119268692	119399688	protein_coding	ENSG00000145779	TNFAIP8	25816
ENSG00000008083	45059.9876857432	37721.4213870652	2.43146513546745	0.965377220198029	0.256462879839586	275974	43.92	6	15246069	15522042	protein_coding	ENSG00000008083	JARID2	3720
ENSG00000161905	1016.04726312266	586.999312588077	2.05348359715444	0.965259652632239	0.791536794056992	11376	54.64	17	4630919	4642294	protein_coding	ENSG00000161905	ALOX15	246
ENSG00000288700	49633.4011987305	40611.5831757138	1.99977727672791	0.963853562664701	0.28942005128274	465931	44.09	3	134485721	134951651	lncRNA	ENSG00000288700	NA	NA
ENSG00000135250	37683.8478831705	32387.0850713589	1.92973298338714	0.962464114588625	0.21852765813694	288605	41.06	7	105110704	105399308	protein_coding	ENSG00000135250	SRPK2	6733
ENSG00000124151	19500.4573620838	17220.7810581078	1.97326074489136	0.961937253929771	0.17935738276451	154991	41.15	20	47501887	47656877	protein_coding	ENSG00000124151	NCOA3	8202
ENSG00000184384	71462.9465799007	59752.8799615485	1.93247606576823	0.961375776498006	0.258187151151576	366598	40.05	11	95976598	96343195	protein_coding	ENSG00000184384	MAML2	84441
ENSG00000160584	31655.4896307261	27410.1035214529	2.21058412669131	0.960860659127855	0.20774793370336	255036	40.48	11	116843402	117098437	protein_coding	ENSG00000160584	SIK3	23387
ENSG00000155111	17730.3453610826	15321.92853105	1.92028889483891	0.959629792273671	0.210622741149017	205981	39.87	6	110609978	110815958	protein_coding	ENSG00000155111	CDK19	23097
ENSG00000117643	11810.0052291644	9494.8688935917	1.91994930339091	0.958983122443403	0.314789618822627	169416	48.63	1	25616791	25786206	protein_coding	ENSG00000117643	MAN1C1	57134
ENSG00000159216	71618.9758168649	62293.0082072093	1.88050492431545	0.958865466142103	0.201271643973715	1216867	41.54	21	34787801	36004667	protein_coding	ENSG00000159216	RUNX1	861
ENSG00000171310	127916.673774295	108216.385770199	2.05769627779665	0.95694182174859	0.241285366068309	306720	46.04	12	104455295	104762014	protein_coding	ENSG00000171310	CHST11	50515
ENSG00000104880	32884.846378733	28822.1602538097	1.91780118818967	0.954803145469821	0.190244459545828	123549	51.25	19	7348937	7472485	protein_coding	ENSG00000104880	ARHGEF18	23370
ENSG00000124496	26647.0582159545	22480.9985537669	2.22237011749963	0.954535002919215	0.245270152867294	227121	45.75	6	42224931	42452051	protein_coding	ENSG00000124496	TRERF1	55809
ENSG00000172985	8918.00511643228	7024.66662436683	2.05906067739634	0.954403808274864	0.34429126761278	375430	48.61	2	109129205	109504634	protein_coding	ENSG00000172985	SH3RF3	344558
ENSG00000150672	2325.469229538	1800.10396485485	1.90035046603572	0.952512968144274	0.36944161864579	2172911	37.02	11	83455012	85627922	protein_coding	ENSG00000150672	DLG2	1740
ENSG00000154928	14925.5164763154	12028.8195565088	2.06433986866323	0.951245032910616	0.311285783620092	465208	44.82	3	134795260	135260467	protein_coding	ENSG00000154928	EPHB1	2047
ENSG00000072134	1928.20686702257	1455.77173278936	2.06420095442667	0.95120311450472	0.405475682416685	121101	48.72	17	19215615	19336715	protein_coding	ENSG00000072134	EPN2	22905
